City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind speed,
629,nizhniy kuranakh,0,RU,1520589063,55,58.84,125.49,2.38,1.92,
633,merauke,32,ID,1520589156,89,-8.49,140.4,83.06,10.54,
636,chokurdakh,0,RU,1520589064,0,70.62,147.9,-34.12,2.93,
637,xuanzhou,0,CN,1520589180,64,30.95,118.78,52.87,3.6,
639,jalu,0,LY,1520589130,27,29.03,21.55,78.43,8.75,
640,atasu,12,KZ,1520589114,95,48.68,71.64,35.77,8.41,
647,pontianak,44,ID,1520589156,99,-0.02,109.34,81.22,8.41,
649,luderitz,0,NA,1520586000,41,-26.65,15.16,78.8,4.7,
651,coahuayana,0,MX,1520589148,73,18.62,-100.35,56.06,1.92,
653,denpasar,32,ID,1520588973,81,-8.65,115.22,80.99,2.59,
654,ratanpur,0,IN,1520589076,29,23.11,87.07,91.66,6.4,
658,salvador,40,BR,1520586000,83,-12.98,-38.48,78.8,8.05,
659,krumbach,0,DE,1520587200,49,48.24,10.36,51.8,13.87,
661,saint anthony,1,CA,1520585760,92,43.97,-111.68,33.8,3.36,
664,hokitika,0,NZ,1520589171,89,-42.72,170.96,61.19,15.35,
668,ostrovnoy,56,RU,1520589064,84,68.05,39.51,2.74,3.38,
671,dingle,68,IE,1520589223,64,11,122.67,83.06,10.54,
673,padang,32,ID,1520589157,100,-0.92,100.36,80.99,2.04,
676,kijang,75,ID,1520586000,65,35.24,129.21,44.6,9.17,
679,naze,88,JP,1520589142,89,5.43,7.07,81.71,5.5,
681,merritt,90,CA,1520587560,80,50.11,-120.79,41,18.34,
690,lasa,20,CN,1520587800,68,34.92,32.53,68,16.11,
696,alekseyevskaya,48,RU,1520589064,100,45.77,40.15,43.24,7.63,
698,vestmannaeyjar,0,IS,1520586000,100,63.44,-20.27,32,4.7,
699,portland,90,AU,1520585760,87,45.52,-122.67,48.2,9.17,
703,baturaja,48,ID,1520589158,71,-4.12,104.17,86.71,8.41,
704,puerto leguizamo,88,CO,1520589229,98,-0.19,-74.78,73.34,2.26,
708,pochutla,0,MX,1520589149,100,15.74,-96.47,78.07,6.62,
712,san pedro de los naranjos,40,MX,1520586780,58,20.25,-100.98,55.4,5.17,
713,katherine,0,AU,1520586000,46,-14.47,132.26,93.2,6.93,
714,yelizovo,90,RU,1520584200,92,53.19,158.38,23,2.24,
715,pavlogradka,88,RU,1520589065,91,54.2,73.56,16.69,5.17,
717,bastrop,1,US,1520588100,52,32.78,-91.91,46.4,6.93,
718,avera,1,PF,1520588100,74,33.19,-82.53,35.6,5.28,
728,temiscaming,90,CA,1520587200,100,46.72,-79.1,24.8,12.75,
